"gRaw","tRaw","gVal","tVal","type","readTime","sensorTime","estDriftMin","estDriftMax","estTimeStamp","sensorID"
"965","25140","6.973926","25.903166","0","1512286059","749940","0","0","1512285759","M0002C2Z30"
"968","25108","7.0041485","25.966269","0","1512286059","749940","0","0","1512285819","M0002C2Z30"
"977","25132","7.094815","25.918941","0","1512286059","749940","0","0","1512285879","M0002C2Z30"
"977","25088","7.094815","26.005709","0","1512286059","749940","0","0","1512285939","M0002C2Z30"
"975","25100","7.074667","25.982044","0","1512286059","749940","0","0","1512285999","M0002C2Z30"
"979","25092","7.114964","25.997822","0","1512286059","749940","0","0","1512286059","M0002C2Z30"
"1201","24964","9.351408","26.250237","1","1512283949","747840","0","0","1512254249","M0002C2Z30"
"1308","40440","10.429334","36.118126","1","1512283949","747840","0","0","1512255149","M0002C2Z30"
"1430","56584","11.658371","36.591408","1","1512283949","747840","0","0","1512256049","M0002C2Z30"
"1251","24940","9.855112","26.297565","1","1512283949","747840","0","0","1512256949","M0002C2Z30"
"1305","40800","10.399113","35.408207","1","1512283949","747840","0","0","1512257849","M0002C2Z30"
"1133","56428","8.66637","36.899036","1","1512283949","747840","0","0","1512258749","M0002C2Z30"
"791","56112","5.221037","37.52219","1","1512283949","747840","0","0","1512259649","M0002C2Z30"
"520","56212","2.490963","37.32499","1","1512283949","747840","0","0","1512260549","M0002C2Z30"
"547","55864","2.762963","38.011246","1","1512283949","747840","0","0","1512261449","M0002C2Z30"
"601","56120","3.306963","37.506413","1","1512283949","747840","0","0","1512262349","M0002C2Z30"
"691","56136","4.2136297","37.47486","1","1512283949","747840","0","0","1512263249","M0002C2Z30"
"775","56228","5.0598526","37.293438","1","1512283949","747840","0","0","1512264149","M0002C2Z30"
"858","56232","5.8960004","37.28555","1","1512283949","747840","0","0","1512265049","M0002C2Z30"
"953","56316","6.8530374","37.119904","1","1512283949","747840","0","0","1512265949","M0002C2Z30"
"1074","56156","8.0720005","37.43542","1","1512283949","747840","0","0","1512266849","M0002C2Z30"
"1149","56312","8.827557","37.12779","1","1512283949","747840","0","0","1512267749","M0002C2Z30"
"1257","56304","9.915556","37.143566","1","1512283949","747840","0","0","1512268649","M0002C2Z30"
"1307","56504","10.41926","36.749165","1","1512283949","747840","0","0","1512269549","M0002C2Z30"
"1241","56776","9.754371","36.212784","1","1512283949","747840","0","0","1512270449","M0002C2Z30"
"1154","40420","8.877926","36.157566","1","1512283949","747840","0","0","1512271349","M0002C2Z30"
"964","56856","6.963853","36.055023","1","1512283949","747840","0","0","1512272249","M0002C2Z30"
"725","40492","4.556149","36.015583","1","1512283949","747840","0","0","1512273149","M0002C2Z30"
"553","56616","2.8234074","36.5283","1","1512283949","747840","0","0","1512274049","M0002C2Z30"
"631","56304","3.6091855","37.143566","1","1512283949","747840","0","0","1512274949","M0002C2Z30"
"699","56320","4.2942224","37.112015","1","1512283949","747840","0","0","1512275849","M0002C2Z30"
"754","56540","4.8482966","36.678173","1","1512283949","747840","0","0","1512276749","M0002C2Z30"
"823","56660","5.5434084","36.441532","1","1512283949","747840","0","0","1512277649","M0002C2Z30"
"868","40624","5.9967413","35.75528","1","1512283949","747840","0","0","1512278549","M0002C2Z30"
"808","40468","5.3922973","36.06291","1","1512283949","747840","0","0","1512279449","M0002C2Z30"
"805","40632","5.362075","35.739502","1","1512283949","747840","0","0","1512280349","M0002C2Z30"
"841","40772","5.7247415","35.46342","1","1512283949","747840","0","0","1512281249","M0002C2Z30"
"837","40820","5.684445","35.368767","1","1512283949","747840","0","0","1512282149","M0002C2Z30"
"1057","25500","7.9007416","25.193245","0","1512283949","747840","0","0","1512283049","M0002C2Z30"
"1073","25516","8.061926","25.161694","0","1512283949","747840","0","0","1512283109","M0002C2Z30"
"1076","9132","8.092149","25.161694","0","1512283949","747840","0","0","1512283169","M0002C2Z30"
"1085","9068","8.182816","25.2879","0","1512283949","747840","0","0","1512283229","M0002C2Z30"
"1094","25460","8.273481","25.272125","0","1512283949","747840","0","0","1512283289","M0002C2Z30"
"1107","25432","8.404446","25.327341","0","1512283949","747840","0","0","1512283349","M0002C2Z30"
"1126","25416","8.595853","25.358892","0","1512283949","747840","0","0","1512283409","M0002C2Z30"
"1137","25356","8.706668","25.477213","0","1512283949","747840","0","0","1512283469","M0002C2Z30"
"1145","25292","8.787259","25.60342","0","1512283949","747840","0","0","1512283529","M0002C2Z30"
"1154","25272","8.877926","25.64286","0","1512283949","747840","0","0","1512283589","M0002C2Z30"
"1174","25128","9.079409","25.926828","0","1512283949","747840","0","0","1512283649","M0002C2Z30"
"1194","25024","9.2808895","26.131918","0","1512283949","747840","0","0","1512283709","M0002C2Z30"
"1211","25016","9.452148","26.147694","0","1512283949","747840","0","0","1512283769","M0002C2Z30"
"1200","24964","9.341334","26.250237","0","1512283949","747840","0","0","1512283829","M0002C2Z30"
"1200","24872","9.341334","26.431662","0","1512283949","747840","0","0","1512283889","M0002C2Z30"
"1204","24872","9.381631","26.431662","0","1512283949","747840","0","0","1512283949","M0002C2Z30"
"13","57338","-2.6165926","35.10452","0","1512280558","1161300","0","0","1512279658","M000285DRH"
"20","57334","-2.5460744","35.112404","0","1512280558","1161300","0","0","1512279718","M000285DRH"
"0","57410","-2.7475557","26.885221","1","1512280452","1161240","0","0","1512250752","M000285DRH"
"0","57470","-2.7475557","26.766901","1","1512280452","1161240","0","0","1512251652","M000285DRH"
"0","8366","-2.7475557","26.672245","1","1512280452","1161240","0","0","1512252552","M000285DRH"
"0","8410","-2.7475557","26.585478","1","1512280452","1161240","0","0","1512253452","M000285DRH"
"0","8442","-2.7475557","26.522373","1","1512280452","1161240","0","0","1512254352","M000285DRH"
"0","8462","-2.7475557","26.482933","1","1512280452","1161240","0","0","1512255252","M000285DRH"
"0","8482","-2.7475557","26.443493","1","1512280452","1161240","0","0","1512256152","M000285DRH"
"0","8506","-2.7475557","26.396166","1","1512280452","1161240","0","0","1512257052","M000285DRH"
"0","8530","-2.7475557","26.348837","1","1512280452","1161240","0","0","1512257952","M000285DRH"
"0","8550","-2.7475557","26.309397","1","1512280452","1161240","0","0","1512258852","M000285DRH"
"0","8570","-2.7475557","26.269957","1","1512280452","1161240","0","0","1512259752","M000285DRH"
"0","8586","-2.7475557","26.238405","1","1512280452","1161240","0","0","1512260652","M000285DRH"
"0","8606","-2.7475557","26.198965","1","1512280452","1161240","0","0","1512261552","M000285DRH"
"0","8638","-2.7475557","26.13586","1","1512280452","1161240","0","0","1512262452","M000285DRH"
"0","8658","-2.7475557","26.09642","1","1512280452","1161240","0","0","1512263352","M000285DRH"
"0","8678","-2.7475557","26.056982","1","1512280452","1161240","0","0","1512264252","M000285DRH"
"0","8690","-2.7475557","26.033318","1","1512280452","1161240","0","0","1512265152","M000285DRH"
"0","8698","-2.7475557","26.017542","1","1512280452","1161240","0","0","1512266052","M000285DRH"
"0","25078","-2.7475557","26.025429","1","1512280452","1161240","0","0","1512266952","M000285DRH"
"0","8702","-2.7475557","26.009653","1","1512280452","1161240","0","0","1512267852","M000285DRH"
"0","8686","-2.7475557","26.041204","1","1512280452","1161240","0","0","1512268752","M000285DRH"
"0","8666","-2.7475557","26.080645","1","1512280452","1161240","0","0","1512269652","M000285DRH"
"0","8642","-2.7475557","26.127974","1","1512280452","1161240","0","0","1512270552","M000285DRH"
"0","8614","-2.7475557","26.18319","1","1512280452","1161240","0","0","1512271452","M000285DRH"
"0","8602","-2.7475557","26.206854","1","1512280452","1161240","0","0","1512272352","M000285DRH"
"0","8634","-2.7475557","26.14375","1","1512280452","1161240","0","0","1512273252","M000285DRH"
"0","8622","-2.7475557","26.167414","1","1512280452","1161240","0","0","1512274152","M000285DRH"
"0","8590","-2.7475557","26.230516","1","1512280452","1161240","0","0","1512275052","M000285DRH"
"0","8566","-2.7475557","26.277845","1","1512280452","1161240","0","0","1512275952","M000285DRH"
"0","8490","-2.7475557","26.427717","1","1512280452","1161240","0","0","1512276852","M000285DRH"
"0","8454","-2.7475557","26.498709","1","1512280452","1161240","0","0","1512277752","M000285DRH"
"0","8466","-2.7475557","26.475044","1","1512280452","1161240","0","0","1512278652","M000285DRH"
"13","8250","-2.6165926","26.900997","0","1512280452","1161240","0","0","1512279552","M000285DRH"
"13","8254","-2.6165926","26.893108","0","1512280452","1161240","0","0","1512279612","M000285DRH"
"13","57410","-2.6165926","26.885221","0","1512280452","1161240","0","0","1512279672","M000285DRH"
"13","57410","-2.6165926","26.885221","0","1512280452","1161240","0","0","1512279732","M000285DRH"
"13","57414","-2.6165926","26.877333","0","1512280452","1161240","0","0","1512279792","M000285DRH"
"13","57418","-2.6165926","26.869446","0","1512280452","1161240","0","0","1512279852","M000285DRH"
"12","8266","-2.6266668","26.869446","0","1512280452","1161240","0","0","1512279912","M000285DRH"
"13","57422","-2.6165926","26.861557","0","1512280452","1161240","0","0","1512279972","M000285DRH"
"13","8274","-2.6165926","26.85367","0","1512280452","1161240","0","0","1512280032","M000285DRH"
"12","8274","-2.6266668","26.85367","0","1512280452","1161240","0","0","1512280092","M000285DRH"
"13","8278","-2.6165926","26.845781","0","1512280452","1161240","0","0","1512280152","M000285DRH"
"13","8286","-2.6165926","26.830006","0","1512280452","1161240","0","0","1512280212","M000285DRH"
"13","8290","-2.6165926","26.822117","0","1512280452","1161240","0","0","1512280272","M000285DRH"
"13","8294","-2.6165926","26.81423","0","1512280452","1161240","0","0","1512280332","M000285DRH"
"13","8298","-2.6165926","26.806341","0","1512280452","1161240","0","0","1512280392","M000285DRH"
"13","8306","-2.6165926","26.790565","0","1512280452","1161240","0","0","1512280452","M000285DRH"
"0","8982","-2.7475557","25.457493","1","1511944352","824820","0","0","1511914652","M000285DRH"
"13","8966","-2.6165926","25.489044","0","1511944352","824820","0","0","1511943452","M000285DRH"
"13","8962","-2.6165926","25.496933","0","1511944352","824820","0","0","1511943512","M000285DRH"
"13","8954","-2.6165926","25.512709","0","1511944352","824820","0","0","1511943572","M000285DRH"
"14","8962","-2.6065187","25.496933","0","1511944352","824820","0","0","1511943632","M000285DRH"
"13","8970","-2.6165926","25.481157","0","1511944352","824820","0","0","1511943692","M000285DRH"
"13","8950","-2.6165926","25.520597","0","1511944352","824820","0","0","1511943752","M000285DRH"
"12","8922","-2.6266668","25.575813","0","1511944352","824820","0","0","1511943812","M000285DRH"
"13","8982","-2.6165926","25.457493","0","1511944352","824820","0","0","1511943872","M000285DRH"
"13","8982","-2.6165926","25.457493","0","1511944352","824820","0","0","1511943932","M000285DRH"
"13","8974","-2.6165926","25.473269","0","1511944352","824820","0","0","1511943992","M000285DRH"
"13","8982","-2.6165926","25.457493","0","1511944352","824820","0","0","1511944052","M000285DRH"
"13","8978","-2.6165926","25.465382","0","1511944352","824820","0","0","1511944112","M000285DRH"
"13","8962","-2.6165926","25.496933","0","1511944352","824820","0","0","1511944172","M000285DRH"
"13","8966","-2.6165926","25.489044","0","1511944352","824820","0","0","1511944232","M000285DRH"
"13","8954","-2.6165926","25.512709","0","1511944352","824820","0","0","1511944292","M000285DRH"
"12","8934","-2.6266668","25.552149","0","1511944352","824820","0","0","1511944352","M000285DRH"
"0","8822","-2.7475557","25.773014","1","1511943232","823740","0","0","1511913532","M000285DRH"
"0","9370","-2.7475557","24.692358","1","1511943232","823740","0","0","1511914432","M000285DRH"
"0","9454","-2.7475557","24.526709","1","1511943232","823740","0","0","1511915332","M000285DRH"
"0","27290","-2.7475557","21.663364","1","1511943232","823740","0","0","1511916232","M000285DRH"
"0","27202","-2.7475557","21.8369","1","1511943232","823740","0","0","1511917132","M000285DRH"
"0","39718","-2.7475557","37.54191","1","1511943232","823740","0","0","1511918032","M000285DRH"
"0","57166","-2.7475557","35.443703","1","1511943232","823740","0","0","1511918932","M000285DRH"
"0","9466","-2.7475557","24.503046","1","1511943232","823740","0","0","1511919832","M000285DRH"
"14","8774","-2.6065187","25.86767","0","1511943232","823740","0","0","1511942332","M000285DRH"
"13","8926","-2.6165926","25.567924","0","1511943232","823740","0","0","1511942392","M000285DRH"
"13","58070","-2.6165926","25.583702","0","1511943232","823740","0","0","1511942452","M000285DRH"
"12","8822","-2.6266668","25.773014","0","1511943232","823740","0","0","1511942512","M000285DRH"
"18","8538","-2.5662222","26.333061","0","1511943232","823740","0","0","1511942572","M000285DRH"
"19","57814","-2.5561483","26.088533","0","1511943232","823740","0","0","1511942632","M000285DRH"
"13","8770","-2.6165926","25.875557","0","1511943232","823740","0","0","1511942692","M000285DRH"
"19","57042","-2.5561483","35.68823","0","1511943232","823740","0","0","1511942752","M000285DRH"
"13","9386","-2.6165926","24.660805","0","1511943232","823740","0","0","1511942812","M000285DRH"
"13","9390","-2.6165926","24.652918","0","1511943232","823740","0","0","1511942872","M000285DRH"
"13","9390","-2.6165926","24.652918","0","1511943232","823740","0","0","1511942932","M000285DRH"
"14","9382","-2.6065187","24.668694","0","1511943232","823740","0","0","1511942992","M000285DRH"
"13","9378","-2.6165926","24.67658","0","1511943232","823740","0","0","1511943052","M000285DRH"
"13","9374","-2.6165926","24.68447","0","1511943232","823740","0","0","1511943112","M000285DRH"
"13","9374","-2.6165926","24.68447","0","1511943232","823740","0","0","1511943172","M000285DRH"
"13","9374","-2.6165926","24.68447","0","1511943232","823740","0","0","1511943232","M000285DRH"
"17","8834","-2.5762966","25.74935","0","1511936619","817080","0","0","1511935719","M000285DRH"
"19","56898","-2.5561483","35.9722","0","1511936619","817080","0","0","1511935779","M000285DRH"
"0","56862","-2.7475557","36.04319","1","1511936541","817020","0","0","1511906841","M000285DRH"
"17","40326","-2.5762966","36.342934","0","1511936541","817020","0","0","1511935641","M000285DRH"
"18","39842","-2.5662222","37.297382","0","1511936541","817020","0","0","1511935701","M000285DRH"
"15","40298","-2.5964446","36.39815","0","1511936541","817020","0","0","1511935761","M000285DRH"
"17","57110","-2.5762966","35.554134","0","1511936541","817020","0","0","1511935821","M000285DRH"
"18","56786","-2.5662222","36.19306","0","1511936541","817020","0","0","1511935881","M000285DRH"
"21","39826","-2.5360003","37.328934","0","1511936541","817020","0","0","1511935941","M000285DRH"
"21","39878","-2.5360003","37.22639","0","1511936541","817020","0","0","1511936001","M000285DRH"
"21","39966","-2.5360003","37.052853","0","1511936541","817020","0","0","1511936061","M000285DRH"
"21","40058","-2.5360003","36.87143","0","1511936541","817020","0","0","1511936121","M000285DRH"
"21","56546","-2.5360003","36.666344","0","1511936541","817020","0","0","1511936181","M000285DRH"
"22","56530","-2.5259259","36.697895","0","1511936541","817020","0","0","1511936241","M000285DRH"
"21","56862","-2.5360003","36.04319","0","1511936541","817020","0","0","1511936301","M000285DRH"
"15","8502","-2.5964446","26.404053","0","1511936541","817020","0","0","1511936361","M000285DRH"
"15","8806","-2.5964446","25.804565","0","1511936541","817020","0","0","1511936421","M000285DRH"
